CUIs,clinvar_trait
C0035222,respiratory distress
C0035300,abnormal retinal morphology
C0035304,retinal degeneration
C0035334,retinitis pigmentosa
C0035372,rett syndrome
C0035410,rhabdomyolysis
C0035411,rhabdomyoma
C0035528,ariboflavinosis
C0035934,rubinstein-taybi syndrome
Cumapped254,rubinstein-taybi syndrome due to crebbp mutations
Cumapped255,rubinstein-taybi syndrome due to ep300 haploinsufficiency
C0036069,asphyxiating thoracic dystrophy 3
C0036161,sandhoff disease
C0036310,juvenile osteochondrosis of spine
C0036341,schizophrenia
C0036346,childhood-onset schizophrenia
C0036391,schwartz-jampel syndrome
C0036489,sea-blue histiocyte syndrome
C0036572,seizure
C0036857,"intellectual disability, severe"
C0037221,situs inversus
C0037268,abnormality of the skin
C0037317,sleep disturbance
C0037763,muscle spasm
C0037769,west syndrome
C0037771,spastic paraparesis
C0037772,spastic paraplegia
C0037773,hereditary spastic paraplegia 2
C0037889,hereditary spherocytosis type 5
C0038002,splenomegaly
C0038220,status epilepticus
C0038356,neoplasm of stomach
C0038379,strabismus
C0038454,stroke
C0038505,sturge-weber syndrome
Cumapped304,succinylcholine response - toxicity
C0038644,sudden infant death syndrome
C0039373,tay-sachs disease
C0039445,hereditary hemorrhagic telangiectasia
Cumapped317,"telangiectasia, hereditary hemorrhagic, type 1"
C0039584,disorder of testis
C0039585,androgen resistance syndrome
C0039685,tetralogy of fallot
C0040015,glanzmann thrombasthenia 1
C0040028,essential thrombocythemia
C0040034,thrombocytopenia
C0040038,thromboembolism
C0040412,furrowed tongue
C0040433,dental crowding
C0040457,"teeth, supernumerary"
C0040761,"transposition of the great arteries, dextro-looped"
C0040822,tremor
C0040961,tricuspid regurgitation
C0041341,tuberous sclerosis syndrome
C0041657,loss of consciousness
C0042063,abnormality of the genitourinary system
C0042109,urticaria
C0042133,uterine leiomyoma
C0042401,vascular dilatation
C0042580,vesicoureteral reflux
C0042781,visceral myopathy
C0042798,visual impairment
C0042974,von willebrand disorder
C0043094,increased body weight
C0043116,werdnig-hoffmann disease
C0043119,werner syndrome
C0043194,wiskott-aldrich syndrome
C0043202,wolff-parkinson-white pattern
C0043207,wolfram syndrome
C0043208,lysosomal acid lipase deficiency
Cumapped353,wolman disease
C0043346,xeroderma pigmentosum
C0043459,zellweger spectrum disorders
C0063252,desflurane response - toxicity
Cumapped266,sevoflurane response - toxicity
C0078917,ocular albinism
C0078918,oculocutaneous albinism
C0078981,arachnoid cyst
C0079153,bullous ichthyosiform erythroderma
C0079154,lamellar ichthyosis
C0079294,epidermolysis bullosa dystrophica
C0079298,"epidermolysis bullosa simplex 1a, generalized severe"
C0079299,"epidermolysis bullosa simplex, koebner type"
C0079301,junctional epidermolysis bullosa
C0079474,recessive dystrophic epidermolysis bullosa
C0079504,hermansky-pudlak syndrome
C0079541,holoprosencephaly sequence
C0079583,congenital ichthyosiform erythroderma
C0079661,waardenburg syndrome type 3
C0079683,junctional epidermolysis bullosa gravis of herlitz
C0079924,oligohydramnios
C0080024,partial albinism
C0085077,acute febrile neutrophilic dermatosis
C0085084,motor neuron disease
C0085110,severe combined immunodeficiency disease
C0085131,gm1 gangliosidosis
C0085132,mucopolysaccharidosis type 7
C0085207,gestational diabetes
C0085215,premature ovarian failure
C0085271,self-injurious behavior
C0085280,alagille syndrome due to a jag1 point mutation
C0085298,sudden cardiac death
C0085390,li-fraumeni syndrome
C0085413,autosomal dominant polycystic kidney disease
C0085548,autosomal recessive polycystic kidney disease
C0085576,microcytic anemia
C0085580,"essential hypertension, genetic"
C0085583,choreoathetosis
C0085584,encephalopathy
C0085637,oculogyric crisis
C0085859,"polyglandular autoimmune syndrome, type 1"
Cumapped62,disorders of intracellular cobalamin metabolism
C0086431,"mucopolysaccharidosis, mps-i-h/s"
C0086437,joint hypermobility
C0086647,"mucopolysaccharidosis, mps-iii-a"
C0086648,"mucopolysaccharidosis, mps-iii-b"
Cumapped132,mucopolysaccharidosistype iiib
C0086649,"mucopolysaccharidosis, mps-iii-c"
C0086650,"mucopolysaccharidosis, mps-iii-d"
C0086651,"mucopolysaccharidosis, mps-iv-a"
C0086652,"mucopolysaccharidosis, mps-iv-b"
C0086795,hurler syndrome
C0149630,bicuspid aortic valve
C0149871,deep venous thrombosis
C0149931,migraine
C0150037,growth delay
C0150055,chronic pain
C0151313,sensory neuropathy
C0151526,premature birth
C0151529,prolonged bleeding time
C0151611,eeg abnormality
C0151786,muscle weakness
C0151872,prolonged prothrombin time
C0151878,prolonged qt interval
C0151889,hyperreflexia
C0152013,lung adenocarcinoma
C0152021,congenital heart disease
C0152025,polyneuropathy
C0152109,kugelberg-welander disease
C0152171,primary pulmonary hypertension
C0152421,macrotia
C0152457,kayser-fleischer ring
C0152459,striae distensae
C0153594,malignant tumor of testis
C0154832,exudative retinopathy
C0155015,protan defect
C0157743,vibratory urticaria
C0158118,multiple joint contractures
C0158252,intervertebral disc disorder
C0158667,congenital absence of salivary gland
Cumapped206,polycystic liver disease 1
C0158733,hand polydactyly
C0158734,foot polydactyly
C0158768,macrodactyly of toe
C0158986,neonatal hypoglycemia
C0162292,external ophthalmoplegia
C0162323,polyarticular arthritis
C0162359,hypohidrotic x-linked ectodermal dysplasia
C0162361,hidrotic ectodermal dysplasia syndrome
C0162510,caroli disease
C0162531,hereditary coproporphyria
C0162532,variegate porphyria
C0162565,acute intermittent porphyria
C0162566,cutaneous porphyria
C0162635,angelman syndrome-like
C0162670,inborn mitochondrial myopathy
C0162671,"juvenile myopathy, encephalopathy, lactic acidosis and stroke"
C0162674,progressive external ophthalmoplegia
C0162834,hyperpigmentation of the skin
C0162835,hypopigmentation of the skin
C0162872,isolated thoracic aortic aneurysm
C0175694,smith-lemli-opitz syndrome
Cumapped340,van der woude syndrome
C0175699,saethre-chotzen syndrome
C0175701,aarskog syndrome
C0175704,noonan syndrome with multiple lentigines
C0175709,centronuclear myopathy
C0175754,"corpus callosum, agenesis of"
C0175778,larsen syndrome
Cumapped182,not specified
C0205710,progressive sclerosing poliodystrophy
C0205711,pelizaeus-merzbacher disease
C0205770,choroid plexus papilloma
C0206042,fatal familial insomnia
C0206061,interstitial pneumonitis
C0206307,spongy degeneration of central nervous system
C0206655,alveolar rhabdomyosarcoma
C0206733,capillary hemangioma
C0220633,uveal melanoma
Cumapped200,peripheral dysostosis
C0220662,"arthrogryposis, distal, type 1a"
C0220663,"blepharophimosis, ptosis, and epicanthus inversus syndrome"
C0220668,congenital contractural arachnodactyly
C0220685,achondrogenesis type ii
C0220687,kbg syndrome
C0220708,vater association
C0220710,medium-chain acyl-coenzyme a dehydrogenase deficiency
C0220722,cerebrooculofacioskeletal syndrome 1
C0220726,diastrophic dysplasia
C0220743,childhood hypophosphatasia
C0220754,biotinidase deficiency
C0220756,"niemann-pick disease, type c"
C0220767,craniofrontonasal syndrome
C0220769,fg syndrome 1
Cumapped364,x-linked sideroblastic anemia 1
C0221023,cyclical neutropenia
C0221026,x-linked agammaglobulinemia
C0221036,hereditary acrodermatitis enteropathica
C0221043,liddle syndrome 1
C0221054,welander distal myopathy
C0221055,paramyotonia congenita of von eulenburg
C0221217,webbed neck
C0221259,trichiasis
C0221260,nail dystrophy
C0221263,cafe-au-lait spot
Cumapped60,dalmatian hypouricemia
C0221352,finger syndactyly
C0221353,horseshoe kidney
C0221354,frontal bossing
C0221355,macrocephaly
C0221357,brachydactyly
C0221629,proximal muscle weakness
C0221757,alpha-1-antitrypsin deficiency
C0221759,amyotrophic neuralgia
C0232180,cardiac shunt
C0232306,left ventricular hypertrophy
C0232466,feeding difficulties
C0233514,behavioral abnormality
C0233762,auditory hallucinations
C0233763,visual hallucinations
C0234162,dysmetria
C0234376,intention tremor
C0234378,postural tremor
C0234985,mental deterioration
C0235081,limb tremor
C0235653,malignant tumor of breast
C0235659,decreased fetal movement
Cumapped146,neonatal encephalopathy
C0235833,congenital diaphragmatic hernia
C0235946,cerebral atrophy
C0235974,carcinoma of pancreas
C0235991,small for gestational age
C0236642,pick disease
C0237987,g6pd deficiency
C0238159,hemoglobin e disease
C0238198,gastrointestinal stromal tumor
C0238286,mucolipidosis type iv
C0238339,hereditary pancreatitis
C0238357,familial hyperkalemic periodic paralysis
C0238402,pyknodysostosis
C0238462,medullary thyroid carcinoma
C0238463,papillary thyroid carcinoma
C0239067,difficulty climbing stairs
C0239234,low-set ears
C0239676,high forehead
C0239830,hand muscle atrophy
C0239842,hand tremor
C0239937,microscopic hematuria
C0239989,decreased circulating total igm
C0239998,recurrent infections
C0240059,intraventricular hemorrhage
C0240231,fractures of the long bones
C0240421,progressive muscle weakness
C0240543,bulbous nose
C0240635,high palate
C0240896,chorioretinal coloboma
C0240897,retinal exudate
C0240953,scapular winging
C0241181,fragile skin
C0241237,difficulty standing
C0241240,tall stature
C0241442,protruding tongue
C0241688,peripheral visual field loss
C0241908,benign familial hematuria
C0242287,autosomal recessive axonal neuropathy with neuromyotonia
C0242292,mccune-albright syndrome
C0242379,lung cancer
C0242387,treacher collins syndrome 1
C0242666,protein s deficiency disease
C0242852,proliferative vitreoretinopathy
C0259771,steatocystoma multiplex
C0262436,"cardiac valvular dysplasia, x-linked"
C0262444,abnormality of the dentition
C0262587,parathyroid gland adenoma
C0263498,premature graying of hair
C0264172,barrel-shaped chest
C0264611,speech apraxia
C0264886,conduction disorder of the heart
C0265210,weaver syndrome
C0265211,marshall-smith syndrome
C0265213,distal arthrogryposis
C0265215,meckel-gruber syndrome
C0265216,x-linked hydrocephalus syndrome
C0265220,pallister-hall syndrome
C0265221,walker-warburg congenital muscular dystrophy
C0265223,cohen syndrome
C0265224,freeman-sheldon syndrome
C0265226,hecht syndrome
C0265227,schinzel-giedion syndrome
C0265234,melnick-fraser syndrome
C0265245,nager syndrome
C0265251,"oto-palato-digital syndrome, type i"
C0265252,coffin-lowry syndrome
C0265257,miller syndrome
C0265259,popliteal pterygium syndrome
C0265264,holt-oram syndrome
C0265269,levy-hollister syndrome
C0265274,"achondrogenesis, type ib"
C0265275,jeune thoracic dystrophy
C0265279,kniest dysplasia
C0265281,metatropic dysplasia
C0265283,atelosteogenesis type i
C0265287,acromicric dysplasia
C0265289,"metaphyseal chondrodysplasia, schmid type"
C0265290,metaphyseal chondrodysplasia
C0265291,autosomal dominant kenny-caffey syndrome
C0265293,frontometaphyseal dysplasia
C0265294,pyle metaphyseal dysplasia
C0265295,"metaphyseal chondrodysplasia, jansen type"
C0265306,greig cephalopolysyndactyly syndrome
C0265308,baller-gerold syndrome
C0265309,leri-weill dyschondrosteosis
Cumapped348,"weill-marchesani syndrome 2, dominant"
Cumapped24,autosomal dominant keratitis-ichthyosis-hearing loss syndrome
C0265339,borjeson-forssman-lehmann syndrome
C0265343,"spondylocostal dysostosis 1, autosomal recessive"
C0265344,leprechaunism syndrome
C0265345,distichiasis-lymphedema syndrome
C0265514,dermatofibrosis lenticularis disseminata
C0265529,plagiocephaly
C0265552,congenital macrodactylia
C0265610,clinodactyly
C0265660,toe syndactyly
C0265673,kyphosis
C0265677,hemivertebrae
C0265783,pulmonary hypoplasia
C0265964,mutilating keratoderma
C0265965,dyskeratosis congenita
C0265998,anonychia
C0266004,"knuckle pads, deafness and leukonychia syndrome"
C0266006,pili torti-deafness syndrome
C0266294,unilateral renal agenesis
Cumapped319,testicular regression syndrome
C0266432,leydig cell agenesis
C0266463,lissencephaly
C0266464,polymicrogyria
C0266468,pontoneocerebellar hypoplasia
C0266470,congenital cerebellar hypoplasia
C0266484,schizencephaly
C0266526,atrophia bulborum hereditaria
C0266544,microcornea
C0266568,persistent hyperplastic primary vitreous
C0266573,congenital ptosis
C0266589,ear malformation
C0266642,visceral heterotaxy
C0267375,chronic colitis
C0267662,congenital diarrhea 7 with exudative enteropathy
C0267834,hepatic cysts
C0268117,partial hypoxanthine-guanine phosphoribosyltransferase deficiency
C0268120,adenine phosphoribosyltransferase deficiency
C0268125,purine-nucleoside phosphorylase deficiency
C0268126,adenylosuccinate lyase deficiency
C0268130,orotic aciduria
C0268135,xeroderma pigmentosum group a
C0268146,glucose-6-phosphate transport defect
C0268147,glycogen phosphorylase kinase deficiency
C0268151,deficiency of udpglucose-hexose-1-phosphate uridylyltransferase
C0268155,deficiency of galactokinase
C0268164,"primary hyperoxaluria, type i"
C0268165,"primary hyperoxaluria, type ii"
C0268186,congenital glucose-galactose malabsorption
C0268193,deficiency of cytochrome-b5 reductase
C0268225,aspartylglucosaminuria
C0268226,sialidosis
C0268233,combined deficiency of sialidase and beta galactosidase
C0268237,cytochrome-c oxidase deficiency disease
C0268238,neutral lipid storage myopathy
C0268242,"niemann-pick disease, type a"
C0268243,"niemann-pick disease, type b"
C0268250,gaucher disease type ii
C0268251,gaucher disease type iii
C0268255,farber lipogranulomatosis
C0268262,sphingolipid activator protein 1 deficiency
C0268263,multiple sulfatase deficiency
C0268271,infantile gm1 gangliosidosis
C0268273,gm1 gangliosidosis type 3
C0268285,deficiency of steroid 17-alpha-monooxygenase
C0268296,testosterone 17-beta-dehydrogenase deficiency
C0268297,3-oxo-5 alpha-steroid delta 4-dehydrogenase deficiency
C0268301,partial androgen insensitivity syndrome
C0268312,progressive familial intrahepatic cholestasis
C0268323,familial porphyria cutanea tarda
C0268328,porphobilinogen synthase deficiency
C0268338,"ehlers-danlos syndrome, type 4"
C0268353,"cutis laxa, x-linked"
C0268354,de barsy syndrome
C0268360,"osteogenesis imperfecta, recessive perinatal lethal"
C0268371,dominant dystrophic epidermolysis bullosa with absence of skin
C0268389,"familial visceral amyloidosis, ostertag type"
C0268412,infantile hypophosphatasia
C0268413,adult hypophosphatasia
C0268425,alstrom syndrome
C0268436,autosomal recessive pseudohypoaldosteronism type 1
C0268450,familial hypokalemia-hypomagnesemia
C0268465,dihydropteridine reductase deficiency
C0268467,gtp cyclohydrolase i deficiency with hyperphenylalaninemia
C0268468,dopa-responsive dystonia due to sepiapterin reductase deficiency
C0268487,tyrosinemia type ii
C0268490,tyrosinemia type i
C0268494,oculocutaneous albinism type 1
C0268495,tyrosinase-positive oculocutaneous albinism
C0268532,prolidase deficiency
C0268540,hyperornithinemia-hyperammonemia-homocitrullinuria syndrome
C0268542,ornithine carbamoyltransferase deficiency
C0268543,"hyperammonemia, type iii"
C0268547,argininosuccinate lyase deficiency
C0268548,arginase deficiency
C0268553,hyperlysinemia
C0268575,isovaleryl-coa dehydrogenase deficiency
C0268579,propionic acidemia
C0268581,holocarboxylase synthetase deficiency
C0268583,methylmalonic acidemia
C0268595,"glutaric aciduria, type 1"
C0268596,multiple acyl-coa dehydrogenase deficiency
C0268600,3-methylcrotonyl-coa carboxylase 1 deficiency
C0268601,deficiency of hydroxymethylglutaryl-coa lyase
C0268621,hepatic methionine adenosyltransferase deficiency
C0268624,sulfite oxidase deficiency due to molybdenum cofactor deficiency type b
Cumapped305,sulfite oxidase deficiency due to molybdenum cofactor deficiency type c
C0268626,juvenile nephropathic cystinosis
C0268631,succinate-semialdehyde dehydrogenase deficiency
C0268647,lysinuric protein intolerance
C0268689,"vitamin d-dependent rickets, type 1"
C0270210,lucey-driscoll syndrome
C0270685,cerebral calcification
C0270724,infantile neuroaxonal dystrophy
C0270726,alexander disease
C0270850,idiopathic generalized epilepsy
C0270851,benign neonatal seizures
C0270853,juvenile myoclonic epilepsy
C0270855,early myoclonic encephalopathy
C0270911,"charcot-marie-tooth disease, type ia"
C0270912,charcot-marie-tooth disease type 1b
C0270913,charcot-marie-tooth disease type 1c
C0270914,charcot-marie-tooth disease type 2
C0270968,sarcotubular myopathy
C0270972,de lange syndrome
C0271091,juvenile retinoschisis
C0271097,usher syndrome
C0271183,high myopia
C0271270,oculomotor apraxia
C0271285,epithelial basement membrane dystrophy
C0271287,schnyder crystalline corneal dystrophy
C0271385,horizontal nystagmus
C0271568,laron-type isolated somatotropin defect
Cumapped213,precocious puberty in females
C0271623,hypogonadotropic hypogonadism
C0271694,familial partial lipodystrophy
C0271695,rabson-mendenhall syndrome
C0271714,leucine-induced hypoglycemia
C0271742,glucocorticoid deficiency with achalasia
C0271829,pendred syndrome
Cumapped216,prenatal anemia
C0271933,"congenital dyserythropoietic anemia, type i"
C0272007,heinz body anemia
C0272066,hnsha due to aldolase a deficiency
C0272087,hereditary methemoglobinemia
C0272167,reticular dysgenesis
C0272199,familial hemophagocytic lymphohistiocytosis
C0272302,gray platelet syndrome
C0272315,coagulation factor deficiency syndrome
C0272327,hereditary factor x deficiency disease
C0272339,prekallikrein deficiency
C0272350,familial dysfibrinogenemia
C0276496,familial alzheimer disease
C0278876,medulloblastoma
C0279702,nonpapillary renal cell carcinoma
C0282102,chondrodysplasia punctata 2 x-linked dominant
C0282492,sneddon syndrome
C0282512,landau-kleffner syndrome
C0282528,peroxisomal disorder
C0282577,congenital disorder of glycosylation
C0302129,achromatopsia
C0311394,difficulty walking
C0311468,hyperbilirubinemia
C0332890,hemihypertrophy
